"data_set1","data_set2","cor","p","p_adjust","level","class"
"Biot","family_Acidaminococcaceae",-0.754761879486355,0.000726514638531646,0.069745405299038,"family","IR"
"Biot","family_Clostridiaceae.1",-0.694027058412094,0.00285885384095774,0.0914833229106476,"family","IR"
"Biot","genus_Clostridium.sensu.stricto",-0.719496611992718,0.00167810483949532,0.0805490322957752,"genus","IR"
"Biot","genus_Pseudoflavonifractor",-0.674723181785594,0.00414043846087024,0.0993705230608857,"genus","IR"
"Ca","family_Veillonellaceae",0.725091809182091,0.00148160363152792,0.14223394862668,"family","IR"
"Caroten","genus_Clostridium.XlVa",-0.936718011783686,0.00186969123256066,0.0897451791629119,"genus","IS"
"Caroten","genus_Lachnospiracea_incertae_sedis",0.952845534796735,0.000904067510594982,0.0867904810171183,"genus","IS"
"Caroten","class_Erysipelotrichia",0.663956511733718,0.00503419847176422,0.120820763322341,"class","IR"
"Caroten","order_Erysipelotrichales",0.663956511733718,0.00503419847176422,0.120820763322341,"order","IR"
"Caroten","family_Acidaminococcaceae",-0.721439936766254,0.00160758941799172,0.120820763322341,"family","IR"
"Caroten","family_Erysipelotrichaceae",0.663956511733718,0.00503419847176422,0.120820763322341,"family","IR"
"Iodine","family_Ruminococcaceae",-0.712622078948243,0.00194803933632846,0.0623372587625107,"family","IR"
"Iodine","genus_Anaerovorax",-0.728758856200096,0.00136330904178298,0.0623372587625107,"genus","IR"
"Iodine","genus_Clostridium.IV",-0.747528978132275,0.00087188848606819,0.0623372587625107,"genus","IR"
"Iodine","genus_Pseudoflavonifractor",-0.668475317393856,0.0046419907721906,0.111407778532574,"genus","IR"
"Na","family_Bacteroidaceae",0.921460101636803,0.0031816883093219,0.152721038847451,"family","IS"
"Na","genus_Bacteroides",0.921460101636803,0.0031816883093219,0.152721038847451,"genus","IS"
"Panto","class_unclassified_Firmicutes",-0.910241804148315,0.00441499278456912,0.105959826829659,"class","IS"
"Panto","order_unclassified_Firmicutes",-0.910241804148315,0.00441499278456912,0.105959826829659,"order","IS"
"Panto","family_unclassified_Firmicutes",-0.910241804148315,0.00441499278456912,0.105959826829659,"family","IS"
"Panto","genus_unclassified_Firmicutes",-0.910241804148315,0.00441499278456912,0.105959826829659,"genus","IS"
"Se","genus_Holdemania",0.948026852909838,0.00115000827083707,0.110400794000359,"genus","IS"
"SolFib","genus_unclassified_Erysipelotrichaceae",0.715113284196056,0.0018464247827937,0.177256779148195,"genus","IR"
"TotFib","phylum_Actinobacteria",-0.880713375198812,0.00884301494836754,0.141488239173881,"phylum","IS"
"TotFib","class_Actinobacteria",-0.880713375198812,0.00884301494836754,0.141488239173881,"class","IS"
"TotFib","order_Coriobacteriales",-0.880713375198812,0.00884301494836754,0.141488239173881,"order","IS"
"TotFib","family_Coriobacteriaceae",-0.880713375198812,0.00884301494836754,0.141488239173881,"family","IS"
"TotFib","genus_Coprococcus",0.980755529870281,9.76622206902779e-05,0.00937557318626668,"genus","IS"
"TotFib","genus_unclassified_Coriobacteriaceae",-0.946536007089271,0.00123325730458783,0.059196350620216,"genus","IS"
"VitA_IU","genus_Clostridium.XlVa",-0.936718011783686,0.00186969123256066,0.0897451791629119,"genus","IS"
"VitA_IU","genus_Lachnospiracea_incertae_sedis",0.952845534796735,0.000904067510594982,0.0867904810171183,"genus","IS"
"VitA_IU","class_Erysipelotrichia",0.667864453614956,0.00469352991922944,0.112644718061507,"class","IR"
"VitA_IU","order_Erysipelotrichales",0.667864453614956,0.00469352991922944,0.112644718061507,"order","IR"
"VitA_IU","family_Acidaminococcaceae",-0.725060810411845,0.00148263811295989,0.112644718061507,"family","IR"
"VitA_IU","family_Erysipelotrichaceae",0.667864453614956,0.00469352991922944,0.112644718061507,"family","IR"
"VitB_NE","genus_Clostridium.XlVb",0.951729411467381,0.000957935611003585,0.0919618186563441,"genus","IS"
"VitB_NE","genus_Lachnospiracea_incertae_sedis",0.927945952609754,0.00257410630037379,0.123557102417942,"genus","IS"
"VitB_NE","family_Ruminococcaceae",-0.807596429618474,0.000154735980633037,0.0148546541407715,"family","IR"
"VitB3","family_Ruminococcaceae",-0.843241165093934,4.07754915993406e-05,0.0039144471935367,"family","IR"
"VitB3","genus_Faecalibacterium",-0.71176597201715,0.00198398968316352,0.0952315047918488,"genus","IR"
"VitB6","family_Ruminococcaceae",-0.711863343578719,0.00197987383523018,0.153958833931065,"family","IR"
"VitB6","genus_Faecalibacterium",-0.688178106158593,0.00320747570689718,0.153958833931065,"genus","IR"
