Pathway,Overall,IS,IR
Dipeptide,12.0,10.5,9.6
Androgenic Steroids,7.3,11.2,7.2
Monoacylglycerol,12.5,9.416666666666666,12.5
Food Component/Plant,10.375,9.5,8.5
Gamma-glutamyl Amino Acid,13.666666666666666,16.666666666666668,10.0
Primary Bile Acid Metabolism,13.0,8.4,13.0
Glutathione Metabolism,10.25,13.0,8.5
Urea cycle; Arginine and Proline Metabolism,14.666666666666666,12.666666666666666,18.666666666666668
"""Leucine, Isoleucine and Valine Metabolism""",10.25,14.75,7.0
Xanthine Metabolism,13.333333333333334,6.0,12.666666666666666
Histidine Metabolism,7.25,12.0,7.25
Tyrosine Metabolism,12.0,13.166666666666666,10.333333333333334
Tryptophan Metabolism,11.333333333333334,7.666666666666667,13.333333333333334
Benzoate Metabolism,12.0,13.0,11.5
